ID Unique,CountryCode,SeriesCode,DESCRIPTION
450,QAT,SP.POP.GROW,Data sources: United Nations World Population Prospects
451,ROU,SP.POP.GROW,Data sources : Eurostat
452,ROU,SP.POP.TOTL,Data sources : Eurostat
453,RUS,SP.POP.TOTL,"Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census."
454,RUS,SP.POP.GROW,"Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census."
455,RWA,SP.POP.GROW,Data sources: United Nations World Population Prospects
456,RWA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
457,SAU,SP.POP.TOTL,Data sources : United Nations World Population Prospects
458,SAU,SP.POP.GROW,Data sources: United Nations World Population Prospects
459,SDN,SP.POP.GROW,Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.
460,SDN,SP.POP.TOTL,Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.
461,SEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
462,SEN,SP.POP.GROW,Data sources: United Nations World Population Prospects
463,SGP,SP.POP.GROW,Data sources: Department of Statistics Singapore
464,SGP,SP.POP.TOTL,Data sources : Department of Statistics Singapore
465,SLB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
466,SLB,SP.POP.GROW,Data sources: United Nations World Population Prospects
467,SLE,SP.POP.GROW,Data sources: United Nations World Population Prospects
468,SLE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
469,SLV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
470,SLV,SP.POP.GROW,Data sources: United Nations World Population Prospects
471,SMR,SP.POP.GROW,Data sources: United Nations World Population Prospects
472,SMR,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
473,SMR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
474,SMR,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
475,SMR,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
476,SMR,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
477,SMR,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
478,SMR,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
479,SOM,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
480,SOM,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
481,SOM,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
482,SOM,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
483,SOM,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
484,SOM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
485,SOM,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
486,SOM,SP.POP.GROW,Data sources: United Nations World Population Prospects
487,SRB,SP.POP.GROW,"Data sources: Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Excluding Kosovo for all years 1950-2011"
488,SRB,SP.POP.0014.TO,Derived using ratio of age group from WPP and World Bank population.
489,SRB,SP.POP.1564.MA.IN,Derived using ratio of age group from WPP and World Bank population.
490,SRB,SP.POP.0014.TO.ZS,Including Kosovo.
491,SRB,SP.POP.TOTL,"Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo."
492,SRB,SP.POP.1564.FE.IN,Derived using ratio of age group from WPP and World Bank population.
493,SRB,SP.POP.1564.TO.ZS,Including Kosovo.
494,SRB,SP.POP.1564.TO,Derived using ratio of age group from WPP and World Bank population.
495,SRB,SP.POP.0014.MA.IN,Derived using ratio of age group from WPP and World Bank population.
496,SRB,SP.POP.0014.FE.IN,Derived using ratio of age group from WPP and World Bank population.
497,SRB,SP.POP.TOTL.FE.ZS,Excluding Kosovo.
498,SRB,SP.POP.TOTL.MA.ZS,Excluding Kosovo.
499,STP,SP.POP.TOTL,Data sources : United Nations World Population Prospects
500,STP,SP.POP.GROW,Data sources: United Nations World Population Prospects
501,SUR,SP.POP.GROW,Data sources: United Nations World Population Prospects
502,SUR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
503,SVK,SP.POP.TOTL,Data sources : Eurostat
504,SVK,SP.POP.GROW,Data sources : Eurostat
505,SVN,SP.POP.GROW,Data sources : Eurostat
506,SVN,SP.POP.TOTL,Data sources : Eurostat
507,SWE,SP.POP.TOTL,Data sources : Eurostat
508,SWE,SP.POP.GROW,Data sources : Eurostat
509,SWZ,SP.POP.GROW,Data sources: United Nations World Population Prospects
510,SWZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
511,SYC,SP.POP.TOTL,Data sources : National Bureau of Statistics
512,SYC,SP.POP.GROW,Data sources: National Bureau of Statistics
513,SYR,SP.POP.GROW,Data sources : United Nations World Population Prospects
514,SYR,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
515,SYR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
516,SYR,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
517,SYR,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
518,SYR,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
519,SYR,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
520,SYR,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
521,TCA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
522,TCA,SP.POP.GROW,Data sources: United Nations World Population Prospects
523,TCD,SP.POP.GROW,Data sources: United Nations World Population Prospects
524,TCD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
525,TGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
526,TGO,SP.POP.GROW,Data sources: United Nations World Population Prospects
527,THA,SP.POP.GROW,Data sources: United Nations World Population Prospects
528,THA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
529,TJK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
